mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
10,55,0,3,10,0.039200000,0.008700000,0.004800000,-0.004800000,-0.018000000,-0.023200000
10,56,0,4,10,0.043000000,0.008600000,-0.000100000,-0.004300000,-0.019600000,0.020900000
10,57,5,1,10,0.092800000,-0.011000000,-0.018800000,-0.016700000,-0.010600000,-0.120500000
10,58,5,2,10,0.219700000,-0.011100000,-0.035700000,-0.014000000,-0.025000000,-0.115900000
10,59,5,3,10,0.293100000,-0.011200000,-0.044500000,-0.000500000,-0.039300000,-0.016300000
10,60,5,4,10,0.230600000,-0.011300000,-0.034500000,0.023600000,-0.053700000,0.148900000
10,61,0,1,5,0.120000000,0.003300000,-0.030400000,-0.021300000,0.043000000,-0.048100000
10,62,0,2,5,0.127300000,0.003200000,-0.041200000,-0.002300000,0.030200000,0.023200000
10,63,0,3,5,0.087900000,0.003100000,-0.036200000,0.010400000,0.017500000,0.050200000
10,64,0,4,5,0.035700000,0.003000000,-0.021500000,0.017300000,0.004700000,0.049800000
10,65,5,1,5,0.162300000,-0.003700000,-0.021800000,-0.012300000,0.058000000,-0.085200000
10,66,5,2,5,0.201300000,-0.003500000,-0.028500000,-0.001700000,0.031200000,-0.002300000
10,67,5,3,5,0.178200000,-0.003300000,-0.025500000,0.007100000,0.004300000,0.045400000
10,68,5,4,5,0.112400000,-0.003100000,-0.014600000,0.014400000,-0.022500000,0.087500000
10,69,2,0,5,0.003100000,-0.015600000,0.001000000,-0.038600000,-0.026300000,0.053900000
10,70,3,0,5,0.003200000,0.039800000,0.029100000,-0.034100000,-0.021700000,0.052900000
10,71,4,0,5,0.003300000,0.078200000,0.038500000,-0.029600000,0.012600000,0.010400000
10,72,1,0,5,0.003000000,-0.057300000,-0.017800000,-0.043000000,-0.002400000,0.018100000
10,73,2,5,5,-0.003100000,-0.217800000,-0.019800000,0.019500000,0.014600000,-0.138100000
10,74,3,5,5,-0.003200000,-0.284600000,-0.031900000,0.019800000,0.005600000,0.020700000
10,75,4,5,5,-0.003200000,-0.179800000,-0.028400000,0.020200000,-0.016400000,0.169600000
10,76,1,5,5,-0.003000000,-0.062900000,-0.005500000,0.019100000,0.009900000,-0.137500000
10,77,5,1,1,0.111800000,0.000000000,0.000000000,-0.059600000,0.188700000,-0.112900000
10,78,5,2,2,0.472000000,0.083600000,-0.083500000,-0.080800000,0.200700000,-0.118700000
10,79,5,3,3,0.608600000,0.121600000,-0.121500000,0.015500000,0.001100000,0.087100000
10,80,5,4,4,0.335100000,0.061600000,-0.061500000,0.084900000,-0.147600000,0.242000000
10,81,0,4,4,0.131100000,0.057000000,-0.056800000,0.076100000,-0.096000000,0.105100000
10,82,0,1,1,0.098700000,0.064100000,-0.064000000,-0.076900000,0.091800000,-0.096600000
10,83,0,2,2,0.287700000,0.128800000,-0.128700000,-0.038400000,0.067300000,-0.067400000
10,84,0,3,3,0.307100000,0.125600000,-0.125400000,0.044100000,-0.048700000,0.053300000
10,85,5,1,4,0.093900000,-0.015100000,-0.014800000,0.000100000,0.114500000,-0.155100000
10,86,5,2,3,0.098600000,-0.011300000,-0.011100000,0.007600000,0.106700000,-0.093200000
10,87,5,3,2,0.068500000,-0.004300000,-0.004100000,0.007800000,0.081800000,-0.048500000
10,88,5,4,1,0.029100000,0.000900000,0.001000000,0.004000000,0.046800000,-0.013800000
10,89,0,1,4,0.083000000,-0.023700000,-0.024100000,-0.010500000,0.090700000,-0.124100000
10,90,0,2,3,0.085200000,-0.025900000,-0.026200000,0.005200000,0.090400000,-0.075900000
10,91,0,3,2,0.057400000,-0.018000000,-0.018200000,0.011000000,0.074300000,-0.043500000
10,92,0,4,1,0.023000000,-0.007400000,-0.007500000,0.010800000,0.049000000,-0.020400000
10,93,0,1,9,-0.014200000,0.011700000,0.006000000,-0.003200000,-0.024100000,0.035800000
10,94,0,2,8,-0.016200000,0.005000000,-0.000600000,-0.008800000,-0.028500000,0.023900000
10,95,0,3,7,-0.007700000,-0.003500000,-0.009200000,-0.007100000,-0.027200000,0.017600000
10,96,0,4,6,0.000400000,-0.006700000,-0.012300000,0.002000000,-0.020600000,0.016800000
10,97,5,1,9,0.038400000,-0.018700000,-0.012400000,-0.005600000,-0.023900000,-0.010000000
10,98,5,2,8,0.067500000,-0.023100000,-0.017000000,-0.001800000,-0.043900000,0.016400000
10,99,5,3,7,0.082300000,-0.023200000,-0.017100000,0.003300000,-0.055900000,0.050800000
10,100,5,4,6,0.065600000,-0.017300000,-0.011300000,0.010300000,-0.058500000,0.094500000
10,101,5,4,9,0.529300000,0.093100000,-0.100100000,0.124900000,-0.210300000,0.386900000
10,102,5,3,8,1.000000000,0.195400000,-0.202400000,0.055600000,-0.091300000,0.181500000
10,103,5,2,7,0.986800000,0.187400000,-0.194600000,-0.072000000,0.143800000,-0.140200000
10,104,5,1,6,0.509600000,0.080000000,-0.087200000,-0.121000000,0.244700000,-0.327700000
10,105,0,4,9,0.205500000,0.043300000,-0.037700000,0.058300000,-0.132500000,0.155000000
10,106,0,3,8,0.470000000,0.102500000,-0.096800000,0.044900000,-0.108900000,0.087800000
10,107,0,2,7,0.530100000,0.117200000,-0.111400000,-0.020900000,0.010100000,-0.074800000
10,108,0,1,6,0.315400000,0.068100000,-0.062000000,-0.069500000,0.097700000,-0.205900000
10,109,1,0,1,-0.062000000,0.203300000,0.062000000,-0.194300000,-0.094800000,0.110500000
10,110,2,0,2,-0.154300000,0.502800000,0.154200000,-0.176800000,-0.071100000,0.044100000
10,111,3,0,3,-0.177200000,0.567600000,0.177100000,-0.033500000,0.029600000,-0.148100000
10,112,4,0,4,-0.101900000,0.314200000,0.101800000,0.058400000,0.105700000,-0.289000000
10,113,1,0,6,0.040500000,-0.105600000,-0.034700000,-0.078300000,0.021700000,-0.133200000
10,114,2,0,7,0.047600000,-0.120600000,-0.041700000,-0.096000000,-0.004200000,-0.071900000
10,115,3,0,8,0.035100000,-0.077200000,-0.029100000,-0.092000000,-0.016800000,-0.032400000
10,116,4,0,9,0.017600000,-0.023700000,-0.011600000,-0.062300000,-0.013900000,-0.018500000
