mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
8,105,0,4,9,0.054400000,-0.004400000,0.003400000,-0.014000000,0.036800000,0.030000000
8,106,0,3,8,-0.013100000,-0.028200000,0.027200000,-0.027600000,0.074700000,-0.026000000
8,107,0,2,7,-0.090200000,-0.043700000,0.042700000,0.002300000,0.027100000,0.003400000
8,108,0,1,6,-0.055800000,-0.023200000,0.022200000,0.030400000,-0.031100000,0.043300000
8,109,1,0,1,0.018900000,-0.054200000,-0.019000000,0.029900000,0.022500000,-0.036800000
8,110,2,0,2,0.037200000,-0.108900000,-0.037300000,0.015100000,0.010400000,-0.014000000
8,111,3,0,3,0.036000000,-0.102400000,-0.036100000,-0.016100000,-0.012100000,0.025400000
8,112,4,0,4,0.017000000,-0.042900000,-0.017100000,-0.023600000,-0.021700000,0.040900000
8,113,1,0,6,-0.007300000,0.007300000,0.006600000,-0.011100000,-0.006100000,0.003000000
8,114,2,0,7,-0.011700000,0.024900000,0.010900000,-0.019600000,-0.003000000,-0.003000000
8,115,3,0,8,-0.012500000,0.038100000,0.011700000,-0.021200000,0.001000000,-0.015900000
8,116,4,0,9,-0.008900000,0.033600000,0.008100000,-0.016900000,0.005500000,-0.034900000
8,117,1,5,6,-0.000600000,0.003300000,0.001300000,0.025400000,0.001100000,0.013300000
8,118,2,5,7,0.001400000,-0.019500000,-0.000700000,0.040100000,0.003100000,0.013400000
8,119,3,5,8,0.004000000,-0.043700000,-0.003200000,0.041700000,0.002200000,0.026700000
8,120,4,5,9,0.004400000,-0.043700000,-0.003700000,0.031200000,-0.000900000,0.052000000
8,121,1,5,1,-0.000100000,0.002500000,0.000100000,0.005800000,0.000300000,0.004400000
8,122,2,5,2,0.000300000,-0.001000000,-0.000300000,0.007700000,0.000500000,0.003000000
8,123,3,5,3,0.000800000,-0.005600000,-0.000700000,0.007400000,0.000400000,0.003700000
8,124,4,5,4,0.001100000,-0.007000000,-0.001000000,0.004700000,0.000000000,0.006700000
8,125,1,0,4,0.011100000,0.019900000,0.011200000,0.015300000,-0.013100000,0.014100000
8,126,2,0,3,0.022100000,0.046400000,0.022200000,0.008600000,-0.007000000,0.008500000
8,127,3,0,2,0.022900000,0.047500000,0.022900000,-0.008200000,0.005700000,-0.007100000
8,128,4,0,1,0.012500000,0.021900000,0.012500000,-0.016000000,0.013200000,-0.013800000
8,129,1,0,9,-0.010800000,-0.055400000,-0.010000000,0.009000000,0.007100000,-0.045000000
8,130,2,0,8,-0.015500000,-0.072500000,-0.014700000,0.017800000,0.001500000,-0.019600000
8,131,3,0,7,-0.014600000,-0.060100000,-0.013800000,0.021400000,-0.003700000,0.000600000
8,132,4,0,6,-0.009000000,-0.030700000,-0.008300000,0.017900000,-0.007700000,0.013800000
8,133,1,5,9,0.004000000,0.057000000,0.003100000,-0.021100000,-0.001300000,0.052000000
8,134,2,5,8,0.004200000,0.063700000,0.003300000,-0.035300000,0.001400000,0.023500000
8,135,3,5,7,0.002200000,0.039000000,0.001300000,-0.037600000,0.002600000,0.006900000
8,136,4,5,6,0.000300000,0.009100000,-0.000600000,-0.026200000,0.001500000,0.003900000
8,137,1,5,4,0.001800000,0.012200000,0.001600000,-0.008100000,-0.000100000,0.013300000
8,138,2,5,3,0.001500000,0.012300000,0.001400000,-0.010100000,0.000700000,0.007000000
8,139,3,5,2,0.000800000,0.007200000,0.000700000,-0.009200000,0.000800000,0.003500000
8,140,4,5,1,0.000100000,0.001600000,0.000100000,-0.006200000,0.000500000,0.002100000
9,1,0,0,0,0.000000000,0.000000000,0.000000000,-0.074200000,-0.009300000,0.096900000
9,2,0,0,1,-0.003700000,0.064800000,-0.000100000,-0.049900000,0.001200000,0.095900000
9,3,0,0,2,0.001100000,0.096400000,-0.000100000,-0.011300000,0.006500000,0.094800000
9,4,0,0,3,0.007700000,0.087700000,-0.000200000,0.026000000,0.004600000,0.093700000
9,5,0,0,4,0.008800000,0.048400000,-0.000300000,0.046800000,-0.003800000,0.092600000
9,6,0,0,5,-0.000700000,0.000200000,-0.000400000,0.042600000,-0.015300000,0.091500000
9,7,0,0,6,-0.012800000,-0.031400000,-0.000400000,0.020600000,-0.008700000,0.067600000
